observation_date,ITAPROINDMISMEI
1955-01-01,21.825600000000001
1955-02-01,22.035470000000000
1955-03-01,22.359800000000000
1955-04-01,22.207170000000001
1955-05-01,22.436109999999999
1955-06-01,23.008459999999999
1955-07-01,23.027539999999998
1955-08-01,22.893989999999999
1955-09-01,22.989380000000001
1955-10-01,23.027539999999998
1955-11-01,23.256480000000000
1955-12-01,23.161090000000002
1956-01-01,23.351870000000002
1956-02-01,22.607810000000001
1956-03-01,23.618970000000001
1956-04-01,24.305789999999998
1956-05-01,24.553799999999999
1956-06-01,24.591960000000000
1956-07-01,24.954450000000001
1956-08-01,24.611039999999999
1956-09-01,25.259699999999999
1956-10-01,25.278780000000001
1956-11-01,24.954450000000001
1956-12-01,25.431410000000000
1957-01-01,25.526800000000001
1957-02-01,26.041910000000001
1957-03-01,26.041910000000001
1957-04-01,26.442559999999997
1957-05-01,26.156379999999999
1957-06-01,26.404399999999999
1957-07-01,26.671500000000002
1957-08-01,26.766890000000004
1957-09-01,27.091220000000000
1957-10-01,26.041910000000001
1957-11-01,26.366250000000001
1957-12-01,26.652420000000003
1958-01-01,27.053059999999999
1958-02-01,26.499790000000001
1958-03-01,26.461640000000003
1958-04-01,26.366250000000001
1958-05-01,26.423480000000001
1958-06-01,27.072140000000001
1958-07-01,27.320160000000001
1958-08-01,27.262929999999997
1958-09-01,27.720809999999997
1958-10-01,27.873429999999999
1958-11-01,28.045140000000004
1958-12-01,28.045140000000004
1959-01-01,28.159609999999997
1959-02-01,29.094449999999998
1959-03-01,29.208920000000003
1959-04-01,29.247070000000001
1959-05-01,29.285229999999999
1959-06-01,29.113520000000001
1959-07-01,29.323390000000003
1959-08-01,30.391770000000001
1959-09-01,31.059509999999996
1959-10-01,31.612790000000004
1959-11-01,32.375920000000001
1959-12-01,32.776559999999996
1960-01-01,32.662089999999999
1960-02-01,33.558770000000003
1960-03-01,34.073890000000006
1960-04-01,34.131120000000003
1960-05-01,34.588999999999999
1960-06-01,35.371220000000001
1960-07-01,35.275820000000003
1960-08-01,35.428449999999998
1960-09-01,35.886330000000001
1960-10-01,35.447530000000000
1960-11-01,35.561999999999998
1960-12-01,35.638309999999997
1961-01-01,36.210659999999997
1961-02-01,37.031030000000001
1961-03-01,36.992870000000003
1961-04-01,37.355359999999997
1961-05-01,37.775080000000003
1961-06-01,38.347430000000003
1961-07-01,38.977020000000003
1961-08-01,39.053329999999995
1961-09-01,39.434899999999999
1961-10-01,40.140799999999999
1961-11-01,40.694070000000004
1961-12-01,41.018400000000000
1962-01-01,41.647979999999997
1962-02-01,41.762450000000001
1962-03-01,41.419040000000003
1962-04-01,41.724299999999999
1962-05-01,42.277569999999997
1962-06-01,41.094709999999999
1962-07-01,42.601900000000001
1962-08-01,42.678210000000000
1962-09-01,41.972320000000003
1962-10-01,42.544670000000004
1962-11-01,43.460419999999999
1962-12-01,44.395260000000000
1963-01-01,44.376179999999998
1963-02-01,43.326880000000003
1963-03-01,44.547890000000002
1963-04-01,45.673510000000000
1963-05-01,45.616280000000003
1963-06-01,46.417559999999995
1963-07-01,46.016919999999999
1963-08-01,46.703740000000003
1963-09-01,47.619500000000002
1963-10-01,47.657660000000000
1963-11-01,47.409640000000003
1963-12-01,47.047150000000002
1964-01-01,48.306319999999999
1964-02-01,46.760970000000000
1964-03-01,47.772129999999997
1964-04-01,47.161619999999999
1964-05-01,46.627429999999997
1964-06-01,45.807060000000000
1964-07-01,46.684660000000001
1964-08-01,43.822910000000000
1964-09-01,46.245860000000000
1964-10-01,46.112310000000001
1964-11-01,46.455719999999999
1964-12-01,46.589269999999999
1965-01-01,46.512949999999996
1965-02-01,47.028070000000000
1965-03-01,46.379410000000000
1965-04-01,47.047150000000002
1965-05-01,48.668810000000001
1965-06-01,49.145760000000003
1965-07-01,49.508260000000000
1965-08-01,48.878670000000000
1965-09-01,49.508260000000000
1965-10-01,49.718119999999999
1965-11-01,50.996360000000003
1965-12-01,50.805579999999999
1966-01-01,51.976420000000005
1966-02-01,51.770980000000002
1966-03-01,53.140580000000007
1966-04-01,51.976420000000005
1966-05-01,53.962350000000001
1966-06-01,54.167789999999997
1966-07-01,54.647150000000003
1966-08-01,56.085230000000003
1966-09-01,56.222190000000005
1966-10-01,55.605870000000003
1966-11-01,55.879790000000000
1966-12-01,57.043950000000002
1967-01-01,57.249390000000005
1967-02-01,58.139629999999997
1967-03-01,57.317869999999992
1967-04-01,58.413559999999997
1967-05-01,58.824440000000003
1967-06-01,58.550510000000003
1967-07-01,58.619000000000000
1967-08-01,58.824440000000003
1967-09-01,58.550510000000003
1967-10-01,59.235319999999994
1967-11-01,59.577719999999992
1967-12-01,59.509240000000005
1968-01-01,59.988599999999998
1968-02-01,60.057080000000006
1968-03-01,60.057080000000006
1968-04-01,61.084280000000007
1968-05-01,61.906039999999997
1968-06-01,61.769080000000002
1968-07-01,62.248440000000002
1968-08-01,62.042999999999999
1968-09-01,63.891959999999997
1968-10-01,64.371319999999997
1968-11-01,62.042999999999999
1968-12-01,64.782200000000003
1969-01-01,66.083330000000004
1969-02-01,64.097399999999993
1969-03-01,66.083330000000004
1969-04-01,66.425730000000001
1969-05-01,65.261569999999992
1969-06-01,67.042050000000003
1969-07-01,67.315969999999993
1969-08-01,66.288770000000000
1969-09-01,62.659319999999994
1969-10-01,59.783159999999995
1969-11-01,58.482030000000002
1969-12-01,61.015799999999999
1970-01-01,68.411649999999995
1970-02-01,69.233409999999992
1970-03-01,68.959500000000006
1970-04-01,68.343170000000001
1970-05-01,67.315969999999993
